Title,OriginalArtist,Album,Key,Length,YouTubeUrl,SpotifyUrl,SongsterrUrl,Genre
Cannonball,The Breeders,,,,,,,Alt-Rock/Grunge
Glycerine,Bush,,,,,,,Alt-Rock/Grunge
Machinehead,Bush,,,,,,,Alt-Rock/Grunge
Comedown,Bush,,,,,,,Alt-Rock/Grunge
Everything Zen,Bush,,,,,,,Alt-Rock/Grunge
The Distance,Cake,,,,,,,Alt-Rock/Grunge
Lovefool,The Cardigans,,,,,,,Alt-Rock/Grunge
Dreams,The Cranberries,,,,,,,Alt-Rock/Grunge
Zombie,The Cranberries,,,,,,,Alt-Rock/Grunge
Linger,The Cranberries,,,,,,,Alt-Rock/Grunge
I Touch Myself,Divinyls,,,,,,,Alt-Rock/Grunge
Novocaine for the Soul,Eels,,,,,,,Alt-Rock/Grunge
Connection,Elastica,,,,,,,Alt-Rock/Grunge
Between the Bars,Elliott Smith,,,,,,,Alt-Rock/Grunge
Santa Monica,Everclear,,,,,,,Alt-Rock/Grunge
The Way,Fastball,,,,,,,Alt-Rock/Grunge
Criminal,Fiona Apple,,,,,,,Alt-Rock/Grunge
Everlong,Foo Fighters,,,,,,,Alt-Rock/Grunge
My Hero,Foo Fighters,,,,,,,Alt-Rock/Grunge
Learn to Fly,Foo Fighters,,,,,,,Alt-Rock/Grunge
Monkey Wrench,Foo Fighters,,,,,,,Alt-Rock/Grunge
Times Like These,Foo Fighters,,,,,,,Alt-Rock/Grunge
Best of You,Foo Fighters,,,,,,,Alt-Rock/Grunge
Big Me,Foo Fighters,,,,,,,Alt-Rock/Grunge
Stupid Girl,Garbage,,,,,,,Alt-Rock/Grunge
Only Happy When It Rains,Garbage,,,,,,,Alt-Rock/Grunge
Hey Jealousy,Gin Blossoms,,,,,,,Alt-Rock/Grunge
Basket Case,Green Day,,,,,,,Alt-Rock/Grunge
Longview,Green Day,,,,,,,Alt-Rock/Grunge
When I Come Around,Green Day,,,,,,,Alt-Rock/Grunge
Good Riddance (Time of Your Life),Green Day,,,,,,,Alt-Rock/Grunge
American Idiot,Green Day,,,,,,,Alt-Rock/Grunge
Doll Parts,Hole,,,,,,,Alt-Rock/Grunge
Celebrity Skin,Hole,,,,,,,Alt-Rock/Grunge
Laid,James,,,,,,,Alt-Rock/Grunge
Been Caught Stealing,Jane's Addiction,,,,,,,Alt-Rock/Grunge
Jane Says,Jane's Addiction,,,,,,,Alt-Rock/Grunge
Lightning Crashes,Live,,,,,,,Alt-Rock/Grunge
I Alone,Live,,,,,,,Alt-Rock/Grunge
Sex and Candy,Marcy Playground,,,,,,,Alt-Rock/Grunge
Teardrop,Massive Attack,,,,,,,Alt-Rock/Grunge
Fade into You,Mazzy Star,,,,,,,Alt-Rock/Grunge
Bitch,Meredith Brooks,,,,,,,Alt-Rock/Grunge
The Impression That I Get,The Mighty Mighty Bosstones,,,,,,,Alt-Rock/Grunge
You Get What You Give,New Radicals,,,,,,,Alt-Rock/Grunge
Closer,Nine Inch Nails,,,,,,,Alt-Rock/Grunge
Head Like a Hole,Nine Inch Nails,,,,,,,Alt-Rock/Grunge
Hurt,Nine Inch Nails,,,,,,,Alt-Rock/Grunge
Smells Like Teen Spirit,Nirvana,,,,,,,Alt-Rock/Grunge
Come As You Are,Nirvana,,,,,,,Alt-Rock/Grunge
Lithium,Nirvana,,,,,,,Alt-Rock/Grunge
In Bloom,Nirvana,,,,,,,Alt-Rock/Grunge
Heart-Shaped Box,Nirvana,,,,,,,Alt-Rock/Grunge
About a Girl,Nirvana,,,,,,,Alt-Rock/Grunge
All Apologies,Nirvana,,,,,,,Alt-Rock/Grunge
Polly,Nirvana,,,,,,,Alt-Rock/Grunge
Rape Me,Nirvana,,,,,,,Alt-Rock/Grunge
The Man Who Sold the World,Nirvana,,,,,,,Alt-Rock/Grunge
Something in the Way,Nirvana,,,,,,,Alt-Rock/Grunge
On a Plain,Nirvana,,,,,,,Alt-Rock/Grunge
Breed,Nirvana,,,,,,,Alt-Rock/Grunge
Dumb,Nirvana,,,,,,,Alt-Rock/Grunge
Sliver,Nirvana,,,,,,,Alt-Rock/Grunge
Been a Son,Nirvana,,,,,,,Alt-Rock/Grunge
Negative Creep,Nirvana,,,,,,,Alt-Rock/Grunge
Just a Girl,No Doubt,,,,,,,Alt-Rock/Grunge
Don't Speak,No Doubt,,,,,,,Alt-Rock/Grunge
Spiderwebs,No Doubt,,,,,,,Alt-Rock/Grunge
Wonderwall,Oasis,,,,,,,Alt-Rock/Grunge
Don't Look Back in Anger,Oasis,,,,,,,Alt-Rock/Grunge
Champagne Supernova,Oasis,,,,,,,Alt-Rock/Grunge
Come Out and Play,The Offspring,,,,,,,Alt-Rock/Grunge
Self Esteem,The Offspring,,,,,,,Alt-Rock/Grunge
Alive,Pearl Jam,,,,,,,Alt-Rock/Grunge
Jeremy,Pearl Jam,,,,,,,Alt-Rock/Grunge
Even Flow,Pearl Jam,,,,,,,Alt-Rock/Grunge
Black,Pearl Jam,,,,,,,Alt-Rock/Grunge
Better Man,Pearl Jam,,,,,,,Alt-Rock/Grunge
Daughter,Pearl Jam,,,,,,,Alt-Rock/Grunge
Yellow Ledbetter,Pearl Jam,,,,,,,Alt-Rock/Grunge
Corduroy,Pearl Jam,,,,,,,Alt-Rock/Grunge
Creep,Radiohead,,,,,,,Alt-Rock/Grunge
Karma Police,Radiohead,,,,,,,Alt-Rock/Grunge
No Surprises,Radiohead,,,,,,,Alt-Rock/Grunge
Paranoid Android,Radiohead,,,,,,,Alt-Rock/Grunge
Under the Bridge,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Give It Away,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Californication,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Scar Tissue,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Otherside,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Suck My Kiss,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
Can't Stop,Red Hot Chili Peppers,,,,,,,Alt-Rock/Grunge
1979,The Smashing Pumpkins,,,,,,,Alt-Rock/Grunge
Today,The Smashing Pumpkins,,,,,,,Alt-Rock/Grunge
Bullet with Butterfly Wings,The Smashing Pumpkins,,,,,,,Alt-Rock/Grunge
"Tonight, Tonight",The Smashing Pumpkins,,,,,,,Alt-Rock/Grunge
Disarm,The Smashing Pumpkins,,,,,,,Alt-Rock/Grunge
Kool Thing,Sonic Youth,,,,,,,Alt-Rock/Grunge
Black Hole Sun,Soundgarden,,,,,,,Alt-Rock/Grunge
Spoonman,Soundgarden,,,,,,,Alt-Rock/Grunge
Outshined,Soundgarden,,,,,,,Alt-Rock/Grunge
Rusty Cage,Soundgarden,,,,,,,Alt-Rock/Grunge
Fell on Black Days,Soundgarden,,,,,,,Alt-Rock/Grunge
Burden in My Hand,Soundgarden,,,,,,,Alt-Rock/Grunge
Interstate Love Song,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
Plush,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
Vasoline,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
Big Empty,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
Sex Type Thing,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
Creep,Stone Temple Pilots,,,,,,,Alt-Rock/Grunge
What I Got,Sublime,,,,,,,Alt-Rock/Grunge
Santeria,Sublime,,,,,,,Alt-Rock/Grunge
Wrong Way,Sublime,,,,,,,Alt-Rock/Grunge
Hunger Strike,Temple of the Dog,,,,,,,Alt-Rock/Grunge
Possum Kingdom,Toadies,,,,,,,Alt-Rock/Grunge
Cornflake Girl,Tori Amos,,,,,,,Alt-Rock/Grunge
Bitter Sweet Symphony,The Verve,,,,,,,Alt-Rock/Grunge
Say It Ain't So,Weezer,,,,,,,Alt-Rock/Grunge
Buddy Holly,Weezer,,,,,,,Alt-Rock/Grunge
Island in the Sun,Weezer,,,,,,,Alt-Rock/Grunge
Undone - The Sweater Song,Weezer,,,,,,,Alt-Rock/Grunge
Man in the Box,Alice in Chains,,,,,,,Alt-Rock/Grunge
Would?,Alice in Chains,,,,,,,Alt-Rock/Grunge
Rooster,Alice in Chains,,,,,,,Alt-Rock/Grunge
Down in a Hole,Alice in Chains,,,,,,,Alt-Rock/Grunge
Them Bones,Alice in Chains,,,,,,,Alt-Rock/Grunge
No Excuses,Alice in Chains,,,,,,,Alt-Rock/Grunge
Shine,Collective Soul,,,,,,,Alt-Rock/Grunge
December,Collective Soul,,,,,,,Alt-Rock/Grunge
3AM,Matchbox Twenty,,,,,,,Alt-Rock/Grunge
Push,Matchbox Twenty,,,,,,,Alt-Rock/Grunge
Semi-Charmed Life,Third Eye Blind,,,,,,,Alt-Rock/Grunge
Jumper,Third Eye Blind,,,,,,,Alt-Rock/Grunge
How's It Going to Be,Third Eye Blind,,,,,,,Alt-Rock/Grunge
Mr. Jones,Counting Crows,,,,,,,Alt-Rock/Grunge
Round Here,Counting Crows,,,,,,,Alt-Rock/Grunge
Learning to Fly,Tom Petty & the Heartbreakers,,,,,,,Alt-Rock/Grunge
Killing in the Name,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Bulls on Parade,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Bombtrack,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Know Your Enemy,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Freedom,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Guerrilla Radio,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Sleep Now in the Fire,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Testify,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Wake Up,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Bullet in the Head,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Township Rebellion,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Take the Power Back,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Renegades of Funk,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Vietnow,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
People of the Sun,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Down Rodeo,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
No Shelter,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Calm Like a Bomb,Rage Against the Machine,,,,,,,Rap-Rock/Nu-Metal
Freak on a Leash,Korn,,,,,,,Rap-Rock/Nu-Metal
Blind,Korn,,,,,,,Rap-Rock/Nu-Metal
Got the Life,Korn,,,,,,,Rap-Rock/Nu-Metal
Falling Away from Me,Korn,,,,,,,Rap-Rock/Nu-Metal
Here to Stay,Korn,,,,,,,Rap-Rock/Nu-Metal
Coming Undone,Korn,,,,,,,Rap-Rock/Nu-Metal
A.D.I.D.A.S.,Korn,,,,,,,Rap-Rock/Nu-Metal
Ball Tongue,Korn,,,,,,,Rap-Rock/Nu-Metal
Break Stuff,Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
Rollin' (Air Raid Vehicle),Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
Nookie,Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
My Way,Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
Take a Look Around,Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
My Generation,Limp Bizkit,,,,,,,Rap-Rock/Nu-Metal
